forecast_date,target_date,horizon,y_true,crps,pinball_mean,model,year,regime,split,q05,q10,q25,q50,q75,q90,q95
2024-04-20,2024-06-19,60,43.71208333333333,58.48060491783342,29.240302458916712,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-213.31112049190682,-140.1158299661339,-17.80970880219445,118.08127136752137,253.97225153723718,376.27837270117664,449.4736632269493
2024-04-20,2024-07-19,90,25.42958333333333,70.90527229698242,35.4526361484912,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-291.8112438129945,-202.1656871315368,-52.3718924962037,114.05988853503185,280.4916695662674,430.2854642016005,519.931020883058
2024-04-20,2024-10-17,180,33.3675,90.49083391392786,45.24541695696396,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-456.43525399750615,-329.65729193210257,-117.81687599948427,117.5532059447983,352.9232878890808,564.7637038216992,691.5416658871023
2024-04-20,2025-04-15,360,34.430416666666666,122.81596831766758,61.40798415883377,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-688.8029724951981,-509.5118591322826,-209.92426986161638,122.9392922008547,455.8028542633258,755.390443533992,934.681556896907
2024-05-20,2024-05-21,1,32.60041666666667,7.091687118723929,3.5458435593619653,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-18.106826904240897,-8.637089846475092,7.186425569041074,24.7675,42.34857443095892,58.17208984647509,67.64182690424087
2024-05-20,2024-05-27,7,31.61791666666667,16.544015018990542,8.272007509495273,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-88.6673066179072,-63.61273738188639,-21.747650725633726,24.7675,71.28265072563372,113.14773738188639,138.20230661790714
2024-05-20,2024-06-03,14,46.193333333333335,42.828798107962335,21.41439905398117,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-43.4901369748294,-8.057625361833047,51.14854797736436,116.93090498938429,182.71326200140422,241.91943534060164,277.3519469535979
2024-05-20,2024-06-19,30,43.71208333333333,48.898307144479574,24.449153572239787,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-116.88621399970039,-65.01832799789106,21.6506353231983,117.94614583333335,214.24165634346838,300.91061966455777,352.778505666367
2024-05-20,2024-07-19,60,25.42958333333333,63.155674908986796,31.5778374544934,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-217.77238433516885,-144.4201164997885,-21.851693134287558,114.33072382478633,250.51314078386022,373.08156414936116,446.43383198474135
2024-05-20,2024-08-18,90,9.661666666666669,70.63872393624362,35.31936196812181,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-309.781096631131,-219.94328279480663,-69.8282348833564,96.96048186098034,263.7491986053171,413.8642465167673,503.70206035309144
2024-05-20,2024-11-16,180,37.6425,87.40423865270182,43.70211932635091,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-472.3892019075146,-345.33934716623537,-133.04461049357548,102.83025477707007,338.70512004771564,550.9998567203755,678.0497114616544
2024-05-20,2025-05-15,360,61.721666666666664,119.24823780686248,59.62411890343126,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-695.8592120055902,-516.1835843329415,-215.953488510041,117.62394497863247,451.201378467306,751.4314742902064,931.1071019628547
2024-06-19,2024-06-20,1,43.48500000000001,6.17015794915433,3.0850789745771663,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,0.707766944225888,10.206215035629839,26.077705329497682,43.71208333333333,61.34646133716898,77.21795163103683,86.71639972244076
2024-06-19,2024-06-26,7,32.97625,16.99116961820816,8.495584809104079,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-70.06664313458415,-44.93611164367319,-2.9440953901234224,43.71208333333333,90.36826205679009,132.36027831033985,157.49080980125078
2024-06-19,2024-07-03,14,37.266666666666666,48.04088200714133,24.020441003570664,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-43.691441435032274,-8.151502970941849,51.23417592621968,117.21597664543525,183.19777736465082,242.58345626181233,278.1233947259027
2024-06-19,2024-07-19,30,25.42958333333333,55.23605587664691,27.61802793832345,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-121.43852692728046,-69.41338411774211,17.518348434015053,114.10581463675214,210.69328083948923,297.6250133912464,349.65015620078464
2024-06-19,2024-08-18,60,9.661666666666669,62.677999703412965,31.338999851706497,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-236.28021454564748,-162.7055520000012,-39.76551682471556,96.82978783444817,233.42509249361188,356.3651276688975,429.93979021454356
2024-06-19,2024-09-17,90,29.52333333333333,72.31299882411139,36.156499412055695,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-285.81064812829607,-195.70045751114898,-45.13027994151636,122.16411889596603,289.4585177334484,440.028695303081,530.138885920228
2024-06-19,2024-12-16,180,21.228333333333335,93.19627212377999,46.598136061889974,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-460.1657230478511,-332.7306693690569,-119.79228216115723,116.79772558386412,353.3877333288855,566.3261205367851,693.7611742155791
2024-06-19,2025-06-14,360,40.596666666666664,120.17270876228301,60.086354381141504,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-713.0889197322849,-532.8685384979907,-231.72818335872546,102.8606143162393,437.4494119912041,738.5897671304693,918.8101483647631
2024-07-19,2024-07-20,1,19.669583333333332,6.684262098250891,3.3421310491254475,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-17.618139881898575,-8.110104439284914,7.777405898089455,25.42958333333333,43.081760768577205,58.96927110595158,68.47730654856521
2024-07-19,2024-07-26,7,19.861666666666668,16.518283088097856,8.259141544048926,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-88.4639868017121,-63.308089563768405,-21.27368825910793,25.42958333333333,72.1328549257746,114.16725623043506,139.32315346837868
2024-07-19,2024-08-02,14,23.92,53.62463525357461,26.81231762678731,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-48.1573899384844,-12.581578890920568,46.864041520363585,112.91244161358811,178.96084170681263,238.40646211809678,273.98227316566056
2024-07-19,2024-08-18,30,9.661666666666669,54.18871399243641,27.0943569962182,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-139.7405238616113,-87.66286896683013,-0.6433910230655755,96.04156668060202,192.72652438426962,279.74600232803414,331.8236572228152
2024-07-19,2024-09-17,60,29.52333333333333,64.5668263532782,32.2834131766391,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-211.39314527358172,-137.74421942479657,-14.680093526098318,122.05308493589743,258.7862633978932,381.8503892965914,455.4993151453764
2024-07-19,2024-10-17,90,33.3675,69.64625233041131,34.82312616520566,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-292.0537524782924,-201.85260826149334,-51.130451214773856,116.33280785562631,283.79606692602647,434.51822397274594,524.7193681895448
2024-07-19,2025-01-15,180,75.97958333333334,84.7575218428613,42.37876092143066,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-460.82957293083734,-333.2658914378687,-120.11257279227043,116.71623938428876,353.5450515608479,566.6983702064462,694.2620516994145
2024-07-19,2025-07-14,360,64.51583333333333,119.3730304387863,59.686515219393165,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-700.0612269712561,-519.6589385376581,-218.21462444421914,116.7118936965812,451.63841183738157,753.0827259308205,933.4850143644181
2024-08-18,2024-08-19,1,9.56,6.174143694987444,3.087071847493722,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-33.37927239152162,-23.87273537904087,-7.987728852718757,9.661666666666669,27.311062186052094,43.196068712374206,52.70260572485493
2024-08-18,2024-08-25,7,-3.2716666666666665,17.30759926646346,8.653799633231733,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-104.21395427598614,-79.06202151153113,-37.03424466824483,9.661666666666669,56.35757800157817,98.38535484486448,123.5372876093194
2024-08-18,2024-09-01,14,19.989166666666662,44.85085365703732,22.42542682851865,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-66.65446198427797,-31.084257548889497,28.351994459275886,94.38998557647928,160.42797669368267,219.86422870184805,255.43443313723645
2024-08-18,2024-09-17,30,29.52333333333333,56.58103548011717,28.290517740058586,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-114.7358910512702,-62.666443396335424,24.33932060949857,121.00904113247863,217.6787616554587,304.6845256612927,356.7539733162273
2024-08-18,2024-10-17,60,33.3675,61.08977803765657,30.544889018828282,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-217.79147148746176,-144.15415242857705,-21.109420966893737,115.60220886752137,252.31383870193648,375.3585701636198,448.99588922250433
